"","FID","name","StudyArea","Area","ExtraTerr","LENGTH","KDEClass","LineDensity","AnimalID","Season","Year"
"44",43,"322522013SnowFree 95% ML","WHEC",42259.8026114,1,35778414.9399965,"% ML",0.846629958710335,"32252","SnowFree","2013"
"45",44,"322522013SnowFree 95% high","WHEC",133736.705605,1,87686220.2527745,"high",0.655663079601806,"32252","SnowFree","2013"
"46",45,"322532011Snow 95% low","WHEC",653.62906216,0,320401.561561798," low",0.490188671389534,"32253","Snow","2011"
"47",46,"322532011Snow 95% ML","WHEC",954.330658093,0,492466.768075798,"% ML",0.516033686961156,"32253","Snow","2011"
"48",47,"322532011Snow 95% high","WHEC",1308.86414946,0,679647.160584756,"high",0.519264860959909,"32253","Snow","2011"
"49",48,"322532012Snow 95% low","WHEC",81.0705676072,0,48312.9336481037," low",0.595936787838808,"32253","Snow","2012"
"50",49,"322532012Snow 95% ML","WHEC",148.945842931,0,70608.6729255875,"% ML",0.474056016174264,"32253","Snow","2012"
"51",50,"322532012Snow 95% high","WHEC",236.998724622,0,112124.555284552,"high",0.473101935309502,"32253","Snow","2012"
"52",51,"322532012SnowFree 95% low","WHEC",519.993449004,0,252110.108489458," low",0.484833239673214,"32253","SnowFree","2012"
"53",52,"322532012SnowFree 95% ML","WHEC",651.68814552,0,361055.854984415,"% ML",0.554031644531938,"32253","SnowFree","2012"
"54",53,"322532012SnowFree 95% high","WHEC",797.58102259,0,547862.948622489,"high",0.68690569748438,"32253","SnowFree","2012"
"55",54,"322542013Snow 95% low","WHEC",984.728202071,0,677125.843755878," low",0.687627146589081,"32254","Snow","2013"
"56",55,"322542013Snow 95% ML","WHEC",1848.24740846,0,1201698.6843115,"% ML",0.650182804970242,"32254","Snow","2013"
"57",56,"322542013Snow 95% high","WHEC",2977.15586633,0,1762234.65670734,"high",0.591918843295122,"32254","Snow","2013"
"58",57,"322542014SnowFree 95% low","WHEC",37.5701096871,0,3918.41556913634," low",0.10429609074263,"32254","SnowFree","2014"
"59",58,"322542014SnowFree 95% ML","WHEC",55.1782993749,0,6041.88277745289,"% ML",0.109497444573315,"32254","SnowFree","2014"
"60",59,"322542014SnowFree 95% high","WHEC",76.4631436004,0,14407.6437788184,"high",0.188425993235557,"32254","SnowFree","2014"
"61",60,"322552011Snow 95% low","WHEC",306.863697131,0,79095.8310077143," low",0.257755582518281,"32255","Snow","2011"
"62",61,"322552011Snow 95% ML","WHEC",459.213324238,0,97927.7673401612,"% ML",0.213251145320442,"32255","Snow","2011"
"63",62,"322552011Snow 95% high","WHEC",641.742007794,0,123381.550990869,"high",0.192260362407933,"32255","Snow","2011"
"64",63,"322552012Snow 95% low","WHEC",298.514728313,0,32971.3504633591," low",0.11045133568347,"32255","Snow","2012"
"65",64,"322552012Snow 95% ML","WHEC",386.990750359,0,58697.421855313,"% ML",0.151676549893922,"32255","Snow","2012"
"66",65,"322552012Snow 95% high","WHEC",486.943468333,0,84507.6662096575,"high",0.173547180946816,"32255","Snow","2012"
"67",66,"322552012SnowFree 95% low","WHEC",779.099319263,0,185850.286901148," low",0.238545051068657,"32255","SnowFree","2012"
"68",67,"322552012SnowFree 95% ML","WHEC",1002.17445782,0,255476.976035266,"% ML",0.254922657469237,"32255","SnowFree","2012"
"69",68,"322552012SnowFree 95% high","WHEC",1252.7481125,0,326418.405035405,"high",0.260561881337822,"32255","SnowFree","2012"
"70",69,"322562011Snow 95% low","WHEC",154.35705803,0,73023.8494618955," low",0.473083967742524,"32256","Snow","2011"
"71",70,"322562011Snow 95% ML","WHEC",237.094855035,0,118861.973273526,"% ML",0.501326666308217,"32256","Snow","2011"
"72",71,"322562011Snow 95% high","WHEC",337.10433181,0,179302.780934754,"high",0.531891061654507,"32256","Snow","2011"
"73",72,"322562012SnowFree 95% low","WHEC",187.036617149,0,78092.823142053," low",0.417526922441296,"32256","SnowFree","2012"
"74",73,"322562012SnowFree 95% ML","WHEC",212.439599952,0,89122.6912327779,"% ML",0.419520142444793,"32256","SnowFree","2012"
"75",74,"322562012SnowFree 95% high","WHEC",239.472850579,0,104337.642105943,"high",0.435697165059316,"32256","SnowFree","2012"
"76",75,"322572011Snow 95% low","WHEC",140.741568856,0,64305.093170364," low",0.456901920968054,"32257","Snow","2011"
"77",76,"322572011Snow 95% ML","WHEC",243.635904334,0,128229.080429361,"% ML",0.526314382027912,"32257","Snow","2011"
"78",77,"322572011Snow 95% high","WHEC",374.196713658,0,198332.288654585,"high",0.530021460412538,"32257","Snow","2011"
"79",78,"322572012SnowFree 95% low","WHEC",205.222083173,0,95071.5819825518," low",0.463261947801239,"32257","SnowFree","2012"
"80",79,"322572012SnowFree 95% ML","WHEC",257.709896687,0,134416.741046158,"% ML",0.521581603089978,"32257","SnowFree","2012"
"81",80,"322572012SnowFree 95% high","WHEC",314.912307258,0,178764.332910566,"high",0.567663850508416,"32257","SnowFree","2012"
"82",81,"322582011Snow 95% low","WHEC",718.821224312,0,855077.81541776," low",1.18955560367068,"32258","Snow","2011"
"83",82,"322582011Snow 95% ML","WHEC",1317.20366317,0,1448764.93693714,"% ML",1.09987921947508,"32258","Snow","2011"
"84",83,"322582011Snow 95% high","WHEC",2095.23054862,0,2249479.4647174,"high",1.07361906602545,"32258","Snow","2011"
"85",84,"322582012Snow 95% low","WHEC",398.859101265,0,308449.35385488," low",0.773329110145961,"32258","Snow","2012"
"86",85,"322582012Snow 95% ML","WHEC",538.806015334,0,473226.572025922,"% ML",0.878287469995252,"32258","Snow","2012"
"87",86,"322582012Snow 95% high","WHEC",698.733471374,0,652991.942227937,"high",0.934536513534816,"32258","Snow","2012"
"88",87,"322582012SnowFree 95% low","WHEC",880.191380353,0,896292.186989255," low",1.01829239299049,"32258","SnowFree","2012"
"89",88,"322582012SnowFree 95% ML","WHEC",1078.35985231,0,1131168.63904717,"% ML",1.04897139542431,"32258","SnowFree","2012"
"90",89,"322582012SnowFree 95% high","WHEC",1295.25115478,0,1408594.18689576,"high",1.08750660572467,"32258","SnowFree","2012"
"91",90,"322592011Snow 95% low","WHEC",450.268493253,0,351276.195371682," low",0.780148290709526,"32259","Snow","2011"
"92",91,"322592011Snow 95% ML","WHEC",709.438048259,0,540889.776096203,"% ML",0.762420027264645,"32259","Snow","2011"
"93",92,"322592011Snow 95% high","WHEC",1026.39611741,0,721942.153622627,"high",0.703375764363148,"32259","Snow","2011"
"94",93,"322592012Snow 95% low","WHEC",482.792746808,0,540268.331234802," low",1.11904815224919,"32259","Snow","2012"
"95",94,"322592012Snow 95% ML","WHEC",600.399682206,0,618326.205372306,"% ML",1.02985764932526,"32259","Snow","2012"
"96",95,"322592012Snow 95% high","WHEC",730.770605011,0,714490.430566463,"high",0.977721908444454,"32259","Snow","2012"
"97",96,"322592012SnowFree 95% low","WHEC",562.287547626,0,511583.093401603," low",0.90982468945209,"32259","SnowFree","2012"
"98",97,"322592012SnowFree 95% ML","WHEC",679.513899821,0,590046.836622873,"% ML",0.868336669460779,"32259","SnowFree","2012"
"99",98,"322592012SnowFree 95% high","WHEC",807.429294873,0,660353.171159925,"high",0.817846436032261,"32259","SnowFree","2012"
"100",99,"322592013SnowFree 95% low","WHEC",337.336737619,0,258627.277194385," low",0.766673914675986,"32259","SnowFree","2013"
"101",100,"322592013SnowFree 95% ML","WHEC",426.853162474,0,375652.512185061,"% ML",0.880050905580305,"32259","SnowFree","2013"
"102",101,"322592013SnowFree 95% high","WHEC",526.018553697,0,474003.871583436,"high",0.901116259592004,"32259","SnowFree","2013"
"103",102,"322602011Snow 95% low","WHEC",339.676998157,0,277308.597615535," low",0.816389096465583,"32260","Snow","2011"
"104",103,"322602011Snow 95% ML","WHEC",511.312312306,0,415626.304508485,"% ML",0.812861913365679,"32260","Snow","2011"
"105",104,"322602011Snow 95% high","WHEC",717.667968119,0,621676.995102596,"high",0.866245983824531,"32260","Snow","2011"
"106",105,"322602012Snow 95% low","WHEC",264.271694496,0,216062.951276922," low",0.817578862121356,"32260","Snow","2012"
"107",106,"322602012Snow 95% ML","WHEC",503.225238952,0,455336.242868598,"% ML",0.904835862002602,"32260","Snow","2012"
"108",107,"322602012Snow 95% high","WHEC",817.389165956,0,714148.951177783,"high",0.873695151491922,"32260","Snow","2012"
"109",108,"322602012SnowFree 95% low","WHEC",318.693179906,0,281335.240284503," low",0.882777724855876,"32260","SnowFree","2012"
"110",109,"322602012SnowFree 95% ML","WHEC",387.755765862,0,327838.521314188,"% ML",0.845476844387824,"32260","SnowFree","2012"
"111",110,"322602012SnowFree 95% high","WHEC",463.479752057,0,390932.404116696,"high",0.843472454582261,"32260","SnowFree","2012"
"112",111,"322612011Snow 95% low","WHEC",781.075515268,0,943313.133988019," low",1.20771054212902,"32261","Snow","2011"
"113",112,"322612011Snow 95% ML","WHEC",1407.12415494,0,1540898.83454092,"% ML",1.0950695637846,"32261","Snow","2011"
"114",113,"322612011Snow 95% high","WHEC",2213.95289402,0,2330144.81722469,"high",1.0524816600744,"32261","Snow","2011"
"115",114,"322612012Snow 95% low","WHEC",83.8409505315,0,47306.3145943452," low",0.564238767505047,"32261","Snow","2012"
"116",115,"322612012Snow 95% ML","WHEC",110.728425545,0,60180.4150846603,"% ML",0.543495627147729,"32261","Snow","2012"
"117",116,"322612012Snow 95% high","WHEC",141.287733268,0,79429.3721397871,"high",0.562181657972546,"32261","Snow","2012"
"118",117,"322612012SnowFree 95% low","WHEC",249.672921753,0,205129.047187176," low",0.821591087038702,"32261","SnowFree","2012"
"119",118,"322612012SnowFree 95% ML","WHEC",763.336527197,0,638741.551851326,"% ML",0.836775824414965,"32261","SnowFree","2012"
"120",119,"322612012SnowFree 95% high","WHEC",1558.20161715,0,1485144.69277483,"high",0.953114588272093,"32261","SnowFree","2012"
"121",120,"322612013Snow 95% low","WHEC",136.912438552,0,89349.5227185297," low",0.652603398664865,"32261","Snow","2013"
"122",121,"322612013Snow 95% ML","WHEC",163.61665413,0,106591.685081549,"% ML",0.651472098902951,"32261","Snow","2013"
"123",122,"322612013Snow 95% high","WHEC",192.19090198,0,119611.331658455,"high",0.622356888001401,"32261","Snow","2013"
"124",123,"322612013SnowFree 95% low","WHEC",190.481985662,0,110554.598970332," low",0.580393986266528,"32261","SnowFree","2013"
"125",124,"322612013SnowFree 95% ML","WHEC",239.542311313,0,140264.715497223,"% ML",0.585552985309325,"32261","SnowFree","2013"
"126",125,"322612013SnowFree 95% high","WHEC",294.104093329,0,182204.450444999,"high",0.619523680825399,"32261","SnowFree","2013"
"127",126,"322622011Snow 95% low","WHEC",251.973283194,0,180628.963477335," low",0.71685760167781,"32262","Snow","2011"
"128",127,"322622011Snow 95% ML","WHEC",422.925387139,0,317040.431184602,"% ML",0.749636793689101,"32262","Snow","2011"
"129",128,"322622011Snow 95% high","WHEC",637.265039292,0,541094.071858079,"high",0.849087959476379,"32262","Snow","2011"
"130",129,"322622012SnowFree 95% low","WHEC",368.091219809,0,288274.141174445," low",0.783159514981174,"32262","SnowFree","2012"
"131",130,"322622012SnowFree 95% ML","WHEC",427.68072324,0,339940.488997595,"% ML",0.794846413516823,"32262","SnowFree","2012"
"132",131,"322622012SnowFree 95% high","WHEC",491.498749806,0,397992.418746662,"high",0.809752657364346,"32262","SnowFree","2012"
"133",132,"322632011Snow 95% low","WHEC",278.951736316,0,232510.074196846," low",0.8335136295171,"32263","Snow","2011"
"134",133,"322632011Snow 95% ML","WHEC",396.175080225,0,325726.53502796,"% ML",0.822178252208519,"32263","Snow","2011"
"135",134,"322632011Snow 95% high","WHEC",533.629993816,0,439588.43093921,"high",0.82377009544704,"32263","Snow","2011"
"136",135,"322632012SnowFree 95% low","WHEC",135.354594709,0,106320.656447973," low",0.785497209581636,"32263","SnowFree","2012"
"137",136,"322632012SnowFree 95% ML","WHEC",176.237700071,0,129905.59627161,"% ML",0.737104468676542,"32263","SnowFree","2012"
"138",137,"322632012SnowFree 95% high","WHEC",222.800271915,0,158214.659672136,"high",0.710118790754871,"32263","SnowFree","2012"
"139",138,"322632013Snow 95% low","WHEC",125.172771031,0,85457.9945972064," low",0.68272032242573,"32263","Snow","2013"
"140",139,"322632013Snow 95% ML","WHEC",151.403255581,0,100002.638749172,"% ML",0.660505207536113,"32263","Snow","2013"
"141",140,"322632013Snow 95% high","WHEC",179.862276597,0,114846.818472247,"high",0.638526436144103,"32263","Snow","2013"
"142",141,"322632014SnowFree 95% low","WHEC",85.3412531699,0,64722.2832469416," low",0.758393869821556,"32263","SnowFree","2014"
"143",142,"322632014SnowFree 95% ML","WHEC",108.760688323,0,81761.8246017252,"% ML",0.751758984449483,"32263","SnowFree","2014"
"144",143,"322632014SnowFree 95% high","WHEC",134.923418885,0,99959.9588810142,"high",0.740864408173748,"32263","SnowFree","2014"
"145",144,"322642011Snow 95% low","WHEC",162.302665719,0,79517.7800921642," low",0.489935145180154,"32264","Snow","2011"
"146",145,"322642011Snow 95% ML","WHEC",267.766161551,0,139867.454572955,"% ML",0.522349253403757,"32264","Snow","2011"
"147",146,"322642011Snow 95% high","WHEC",399.099292602,0,226491.34917215,"high",0.567506265660103,"32264","Snow","2011"
"148",147,"322642012Snow 95% low","WHEC",197.802417184,0,86689.3232884922," low",0.438262203883242,"32264","Snow","2012"
"149",148,"322642012Snow 95% ML","WHEC",235.530840652,0,115209.375166021,"% ML",0.489147726247214,"32264","Snow","2012"
"150",149,"322642012Snow 95% high","WHEC",276.687905959,0,148367.288033906,"high",0.536226140855942,"32264","Snow","2012"
"151",150,"322642012SnowFree 95% low","WHEC",236.897286454,0,105281.237172937," low",0.444417235624942,"32264","SnowFree","2012"
"152",151,"322642012SnowFree 95% ML","WHEC",269.308374973,0,123899.006117102,"% ML",0.460063695120968,"32264","SnowFree","2012"
"153",152,"322642012SnowFree 95% high","WHEC",303.654806192,0,146793.002617031,"high",0.48342064615376,"32264","SnowFree","2012"
"154",153,"322642013SnowFree 95% low","WHEC",264.241796227,0,148279.246453514," low",0.561149858087299,"32264","SnowFree","2013"
"155",154,"322642013SnowFree 95% ML","WHEC",307.98556504,0,177573.815940334,"% ML",0.57656538519028,"32264","SnowFree","2013"
"156",155,"322642013SnowFree 95% high","WHEC",354.739052897,0,205705.607991683,"high",0.579878663800263,"32264","SnowFree","2013"
"157",156,"322652011Snow 95% low","WHEC",353.104773307,0,365234.123249517," low",1.03435056917787,"32265","Snow","2011"
"158",157,"322652011Snow 95% ML","WHEC",561.950779396,0,545052.452897753,"% ML",0.969929169746131,"32265","Snow","2011"
"159",158,"322652011Snow 95% high","WHEC",818.136036866,0,739690.072540257,"high",0.904116233986902,"32265","Snow","2011"
"160",159,"322652012SnowFree 95% low","WHEC",119.929200646,0,131496.189228138," low",1.0964484755992,"32265","SnowFree","2012"
"161",160,"322652012SnowFree 95% ML","WHEC",203.599542765,0,211195.568328299,"% ML",1.03730865727958,"32265","SnowFree","2012"
"162",161,"322652012SnowFree 95% high","WHEC",308.7613536,0,298044.968409615,"high",0.965292336409861,"32265","SnowFree","2012"
"163",162,"322662011Snow 95% low","WHEC",365.504659254,0,394867.859336584," low",1.08033604863619,"32266","Snow","2011"
"164",163,"322662011Snow 95% ML","WHEC",499.95086798,0,524592.453080586,"% ML",1.0492880134405,"32266","Snow","2011"
"165",164,"322662011Snow 95% high","WHEC",655.192068422,0,646111.779212956,"high",0.986141026964942,"32266","Snow","2011"
"166",165,"322662012Snow 95% low","WHEC",573.131588961,0,500436.312586382," low",0.873161281327376,"32266","Snow","2012"
"167",166,"322662012Snow 95% ML","WHEC",901.856460906,0,795769.52555885,"% ML",0.882368270400175,"32266","Snow","2012"
"168",167,"322662012Snow 95% high","WHEC",1303.74541283,0,1148309.86493983,"high",0.880777683771271,"32266","Snow","2012"
"169",168,"322662012SnowFree 95% low","WHEC",357.771604535,0,314361.321780181," low",0.878664817988448,"32266","SnowFree","2012"
"170",169,"322662012SnowFree 95% ML","WHEC",401.529351261,0,346842.590141169,"% ML",0.863803826673972,"32266","SnowFree","2012"
"171",170,"322662012SnowFree 95% high","WHEC",447.699313715,0,386961.871482005,"high",0.864334296764949,"32266","SnowFree","2012"
"172",171,"322672011Snow 95% low","WHEC",482.73494098,0,204177.170325353," low",0.422959170742547,"32267","Snow","2011"
"173",172,"322672011Snow 95% ML","WHEC",714.740522739,0,297067.433893693,"% ML",0.41562976274982,"32267","Snow","2011"
"174",173,"322672011Snow 95% high","WHEC",991.157865805,0,396032.246242902,"high",0.39956525585483,"32267","Snow","2011"
"175",174,"322672012Snow 95% low","WHEC",583.319917611,0,192836.469236885," low",0.330584407312289,"32267","Snow","2012"
"176",175,"322672012Snow 95% ML","WHEC",727.572643303,0,243429.109558578,"% ML",0.334577051239131,"32267","Snow","2012"
"177",176,"322672012Snow 95% high","WHEC",888.501360795,0,285111.962619439,"high",0.320890856446558,"32267","Snow","2012"
"178",177,"322672012SnowFree 95% low","WHEC",524.428053555,0,205074.90802103," low",0.391044885243772,"32267","SnowFree","2012"
"179",178,"322672012SnowFree 95% ML","WHEC",629.584687657,0,234904.010838556,"% ML",0.373109472710894,"32267","SnowFree","2012"
"180",179,"322672012SnowFree 95% high","WHEC",744.108944409,0,272557.023717462,"high",0.366286450076121,"32267","SnowFree","2012"
"181",180,"322672013SnowFree 95% low","WHEC",1943.88864823,1,626373.834002784," low",0.322227219431075,"32267","SnowFree","2013"
"182",181,"322672013SnowFree 95% ML","WHEC",4076.16835834,1,1799071.14450331,"% ML",0.44136330650385,"32267","SnowFree","2013"
"183",182,"322672013SnowFree 95% high","WHEC",6978.5308514,1,4315197.28093979,"high",0.618353256985902,"32267","SnowFree","2013"
"184",183,"322682011Snow 95% low","WHEC",259.843954164,0,273396.544206404," low",1.05215664950146,"32268","Snow","2011"
"185",184,"322682011Snow 95% ML","WHEC",397.617740651,0,415002.192375416,"% ML",1.04372151930634,"32268","Snow","2011"
"186",185,"322682011Snow 95% high","WHEC",563.887212082,0,546095.809544549,"high",0.968448650445962,"32268","Snow","2011"
"187",186,"322682012SnowFree 95% low","WHEC",283.319914655,0,298590.071644061," low",1.05389722430086,"32268","SnowFree","2012"
"188",187,"322682012SnowFree 95% ML","WHEC",322.712316218,0,346066.125619966,"% ML",1.07236727025376,"32268","SnowFree","2012"
"189",188,"322682012SnowFree 95% high","WHEC",364.612224533,0,383336.708646165,"high",1.05135451543663,"32268","SnowFree","2012"
"190",189,"322692011Snow 95% low","WHEC",351.415888805,0,267534.891269789," low",0.761305620470234,"32269","Snow","2011"
"191",190,"322692011Snow 95% ML","WHEC",557.515732494,0,433583.781853538,"% ML",0.7777068100194,"32269","Snow","2011"
"192",191,"322692011Snow 95% high","WHEC",810.367089288,0,585445.945030008,"high",0.722445361822861,"32269","Snow","2011"
"193",192,"322692012SnowFree 95% low","WHEC",189.662013804,0,145149.910377222," low",0.765308284278907,"32269","SnowFree","2012"
"194",193,"322692012SnowFree 95% ML","WHEC",227.670136908,0,177607.645925286,"% ML",0.780109540659944,"32269","SnowFree","2012"
"195",194,"322692012SnowFree 95% high","WHEC",269.173582309,0,214220.951243253,"high",0.795846863595018,"32269","SnowFree","2012"
"196",195,"322702011Snow 95% low","WHEC",306.733757343,0,81493.3070512632," low",0.265680920669369,"32270","Snow","2011"
"197",196,"322702011Snow 95% ML","WHEC",440.435338794,0,92003.9911987417,"% ML",0.208893299640004,"32270","Snow","2011"
"198",197,"322702011Snow 95% high","WHEC",597.645145706,0,121280.291355244,"high",0.202930270958655,"32270","Snow","2011"
"199",198,"322702012Snow 95% low","WHEC",149.10047123,0,35059.4507591643," low",0.235139771658281,"32270","Snow","2012"
"200",199,"322702012Snow 95% ML","WHEC",280.399168149,0,62850.4072145857,"% ML",0.224146197114208,"32270","Snow","2012"
"201",200,"322702012Snow 95% high","WHEC",452.440339385,0,82007.2505391627,"high",0.181255390822655,"32270","Snow","2012"
"202",201,"322702012SnowFree 95% low","WHEC",766.226687977,0,192077.979775402," low",0.250680357117981,"32270","SnowFree","2012"
"203",202,"322702012SnowFree 95% ML","WHEC",965.797485839,0,248407.590189952,"% ML",0.257204635373593,"32270","SnowFree","2012"
"204",203,"322702012SnowFree 95% high","WHEC",1187.36806669,0,307590.154778624,"high",0.259052069368925,"32270","SnowFree","2012"
"205",204,"336682012Snow 95% low","WHEC",257.054374237,0,223423.856246909," low",0.869169633506863,"33668","Snow","2012"
"206",205,"336682012Snow 95% ML","WHEC",365.458403799,0,346677.770918786,"% ML",0.948610751086893,"33668","Snow","2012"
"207",206,"336682012Snow 95% high","WHEC",492.401372794,0,488460.822368291,"high",0.991997279773308,"33668","Snow","2012"
"208",207,"336692012Snow 95% low","WHEC",243.332753721,0,239125.564075577," low",0.982710138355452,"33669","Snow","2012"
"209",208,"336692012Snow 95% ML","WHEC",1280.37950877,0,1465799.47611757,"% ML",1.14481641269446,"33669","Snow","2012"
"210",209,"336692012Snow 95% high","WHEC",3157.25060186,0,4055078.15864066,"high",1.28437006433754,"33669","Snow","2012"
"211",210,"336732012Snow 95% low","WHEC",677.625308542,0,672005.97050183," low",0.991707307904039,"33673","Snow","2012"
"212",211,"336732012Snow 95% ML","WHEC",1287.09699978,0,1147074.76585426,"% ML",0.891210814764017,"33673","Snow","2012"
"213",212,"336732012Snow 95% high","WHEC",2086.08217027,0,1844955.817106,"high",0.884411862293616,"33673","Snow","2012"
"214",213,"336742012Snow 95% low","WHEC",3882.55749739,1,4080323.75922452," low",1.05093711090369,"33674","Snow","2012"
"215",214,"336742012Snow 95% ML","WHEC",19946.7060994,1,16867014.9726872,"% ML",0.845604025478403,"33674","Snow","2012"
"216",215,"336742012Snow 95% high","WHEC",48772.4783922,1,35565270.4604097,"high",0.729207775221395,"33674","Snow","2012"
"217",216,"336762013Snow 95% low","WHEC",507.786128183,0,457070.55776265," low",0.900124151477268,"33676","Snow","2013"
"218",217,"336762013Snow 95% ML","WHEC",1076.00059349,0,1042067.06686294,"% ML",0.968463282611213,"33676","Snow","2013"
"219",218,"336762013Snow 95% high","WHEC",1854.5728849,0,1795048.62450338,"high",0.967904059807375,"33676","Snow","2013"
"220",219,"336772012Snow 95% low","WHEC",346.566650893,0,281982.378247726," low",0.813645448923435,"33677","Snow","2012"
"221",220,"336772012Snow 95% ML","WHEC",459.618609129,0,379121.336792528,"% ML",0.824860719871595,"33677","Snow","2012"
